budgetLabel,timeoutDeltaMs,runId,round,scopeFamily,requiredFamily,profileId,profileLabel,queryText,queryFamily,queryCascadeIndex,attemptNumber,elapsedMs,timedOut,abortOrigin,responseHeadersReceived,bodyCompleted,docsReturned,acceptedAfterSourcePolicy,finalContribution,contributedToFinalSlate,timeoutBudgetRemainingAtFetchStartMs,failedReason,lifecycleStage
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,1004,false,,true,true,8,2,1,true,2000,,completed
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,192,false,,true,true,8,3,1,true,2000,,completed
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,228,false,,true,true,8,0,0,false,2000,,completed
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,190,false,,true,true,8,4,0,false,2000,,completed
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,405,false,,true,true,8,3,0,false,2000,,completed
production,0,production-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,493,false,,true,true,8,2,0,false,2000,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,456,false,,true,true,8,2,1,true,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,465,false,,true,true,8,3,1,true,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,902,false,,true,true,8,0,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,179,false,,true,true,8,4,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,453,false,,true,true,8,3,0,false,2250,,completed
plus_250ms,250,plus_250ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,214,false,,true,true,8,2,0,false,2250,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,fantasy school,fantasy,0,1,404,false,,true,true,8,2,1,true,2500,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,science fiction dystopian,speculative,1,1,141,false,,true,true,8,3,1,true,2500,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,action adventure,adventure,2,1,173,false,,true,true,8,0,0,false,2500,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy,fantasy,3,1,514,false,,true,true,8,4,0,false,2500,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult contemporary fantasy,contemporary_drama,4,1,475,false,,true,true,8,3,0,false,2500,,completed
plus_500ms,500,plus_500ms-fantasy-r3,3,fantasy,fantasy,fantasy-high-epic,High epic fantasy,young adult fantasy adventure,fantasy,6,1,544,false,,true,true,8,2,0,false,2500,,completed
production,0,production-mystery_thriller-r3,3,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,320,false,,true,true,8,6,5,true,2000,,completed
plus_250ms,250,plus_250ms-mystery_thriller-r3,3,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,239,false,,true,true,8,6,5,true,2250,,completed
plus_500ms,500,plus_500ms-mystery_thriller-r3,3,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,167,false,,true,true,8,6,5,true,2500,,completed
plus_750ms,750,plus_750ms-mystery_thriller-r3,3,mystery_thriller,mystery/thriller,mystery-psychological-thriller,Psychological thriller mystery,teen mystery thriller,mystery_thriller,0,1,68,false,,true,true,8,6,5,true,2750,,completed
plus_750ms,750,plus_750ms-speculative_scifi-r4,4,speculative_scifi,speculative/science fiction,scifi-space-opera,Space opera science fiction,science fiction adventure,speculative,0,1,571,false,,true,true,8,0,0,false,2750,,completed
